角色,音色 ID,语言,模型,接口
女雷神 2.0,zh_female_nvleishen_uranus_bigtts,中文,2.0,websocket
亲切女声 2.0,zh_female_qinqienv_uranus_bigtts,中文,2.0,websocket
快乐小东 2.0,zh_male_kuailexiaodong_uranus_bigtts,中文,2.0,websocket
开朗学长 2.0,zh_male_kailangxuezhang_uranus_bigtts,中文,2.0,websocket
悠悠君子 2.0,zh_male_youyoujunzi_uranus_bigtts,中文,2.0,websocket
文静毛毛 2.0,zh_female_wenjingmaomao_uranus_bigtts,中文,2.0,websocket
知性女声 2.0,zh_female_zhixingnv_uranus_bigtts,中文,2.0,websocket
清爽男大 2.0,zh_male_qingshuangnanda_uranus_bigtts,中文,2.0,websocket
渊博小叔 2.0,zh_male_yuanboxiaoshu_uranus_bigtts,中文,2.0,websocket
阳光青年 2.0,zh_male_yangguangqingnian_uranus_bigtts,中文,2.0,websocket
清澈梓梓 2.0,zh_female_qingchezizi_uranus_bigtts,中文,2.0,websocket
甜美悦悦 2.0,zh_female_tianmeiyueyue_uranus_bigtts,中文,2.0,websocket
心灵鸡汤 2.0,zh_female_xinlingjitang_uranus_bigtts,中文,2.0,websocket
温柔小哥 2.0,zh_male_wenrouxiaoge_uranus_bigtts,中文,2.0,websocket
柔美女友 2.0,zh_female_roumeinvyou_uranus_bigtts,中文,2.0,websocket
东方浩然 2.0,zh_male_dongfanghaoran_uranus_bigtts,中文,2.0,websocket
温柔小雅 2.0,zh_female_wenrouxiaoya_uranus_bigtts,中文,2.0,websocket
天才童声 2.0,zh_male_tiancaitongsheng_uranus_bigtts,中文,2.0,websocket
武则天 2.0,zh_female_wuzetian_uranus_bigtts,中文,2.0,websocket
顾姐 2.0,zh_female_gujie_uranus_bigtts,中文,2.0,websocket
广告解说 2.0,zh_male_guanggaojieshuo_uranus_bigtts,中文,2.0,websocket
少儿故事 2.0,zh_female_shaoergushi_uranus_bigtts,中文,2.0,websocket
Charlie 2.0,ICL_uranus_en_female_charlie_tob,美式英语,2.0,websocket
Ethan 2.0,ICL_uranus_en_male_ethan_tob,澳洲英语,2.0,websocket
Alastor 2.0,ICL_uranus_en_male_alastor_tob,英式英语,2.0,websocket
Chucky 2.0,ICL_uranus_en_male_chucky_tob,美式英语,2.0,websocket
Noah 2.0,ICL_uranus_en_male_noah_tob,美式英语,2.0,websocket
Jigsaw 2.0,ICL_uranus_en_male_jigsaw_tob,美式英语,2.0,websocket
Clown Man 2.0,ICL_uranus_en_male_clown_man_tob,美式英语,2.0,websocket
Cartoon Chef 2.0,ICL_uranus_en_male_cartoon_chef_tob,美式英语,2.0,websocket
Frosty Man 2.0,ICL_uranus_en_male_frosty_man_tob,美式英语,2.0,websocket
The Grinch 2.0,ICL_uranus_en_male_the_grinch_tob,美式英语,2.0,websocket
Kevin McCallister 2.0,ICL_uranus_en_male_kevin_mccallister_tob,美式英语,2.0,websocket
