角色,音色 ID,语言,模型,接口
Brittney,en_female_brittney_uranus_bigtts,美式英语,2.0,websocket
Zoe,en_female_brittney_pimintel_uranus_bigtts,美式英语,2.0,http
Adrian,en_male_bruce_uranus_bigtts,美式英语,2.0,websocket
Leo,en_male_chandler_p1_uranus_bigtts,美式英语,2.0,websocket
Bob,en_male_cowboy-bob_uranus_bigtts,美式英语,2.0,websocket
John,en_male_cowboy_john_b_uranus_bigtts,美式英语,2.0,http
David,en_male_david_uranus_bigtts,美式英语,2.0,websocket
Orion,en_male_deep-voice_uranus_bigtts,美式英语,2.0,websocket
Julian,en_male_diyuwenrounan_uranus_bigtts,美式英语,2.0,websocket
Harrison,en_male_evil-guy-oxley_uranus_bigtts,美式英语,2.0,websocket
Jasper,en_male_excited-male-voice_uranus_bigtts,美式英语,2.0,websocket
Alfred,en_male_father-christmas_uranus_bigtts,美式英语,2.0,websocket
Holly,en_female_female_tutor_ms-jenny_uranus_bigtts,美式英语,2.0,websocket
Felix,en_male_fernando-martinez_uranus_bigtts,美式英语,2.0,websocket
Godfather,en_male_godfather_uranus_bigtts,美式英语,2.0,websocket
Gollum,en_male_gollum_uranus_bigtts,美式英语,2.0,websocket
Beau,en_male_hades_uranus_bigtts,美式英语,2.0,websocket
Hayley,en_female_hayley_uranus_bigtts,美式英语,2.0,websocket
Jamie,en_male_jamie_uranus_bigtts,美式英语,2.0,websocket
Jane,en_female_jane_uranus_bigtts,美式英语,2.0,websocket
Jenny,en_female_jenny_uranus_bigtts,美式英语,2.0,websocket
Blaze,en_male_jidongchuanjiaoshi_uranus_bigtts,美式英语,2.0,websocket
Jimmy,en_male_jimmy_uranus_bigtts,美式英语,2.0,websocket
Joanne,en_female_joanne_uranus_bigtts,美式英语,2.0,websocket
Joker,en_male_joker_uranus_bigtts,美式英语,2.0,websocket
Josh,en_male_josh_uranus_bigtts,美式英语,2.0,websocket
Josiah,en_male_josh_coery_uranus_bigtts,美式英语,2.0,http
Kevin,en_male_kevin_uranus_bigtts,美式英语,2.0,websocket
Knightley,en_male_knightley_uranus_bigtts,美式英语,2.0,websocket
Lynn,en_female_lana_del_rey_kelley_d_p1_uranus_bigtts,美式英语,2.0,websocket
Ivy,en_female_lana_del_rey_parky_s_p1_uranus_bigtts,美式英语,2.0,websocket
Marcus,en_male_marcus_uranus_bigtts,美式英语,2.0,websocket
Mel,en_female_mel_uranus_bigtts,美式英语,2.0,websocket
Hank,en_male_michael_uranus_bigtts,美式英语,2.0,websocket
Chip,en_male_michael-mouse_uranus_bigtts,美式英语,2.0,websocket
Michael_Kevin,en_male_michael_kevin_uranus_bigtts,美式英语,2.0,http
Rory,en_male_motivational-coach_uranus_bigtts,美式英语,2.0,websocket
Myra,en_female_myra_uranus_bigtts,美式英语,2.0,websocket
Sunny,en_female_myra_cmb_uranus_bigtts,美式英语,2.0,http
Blair,en_female_nadia_uranus_bigtts,美式英语,2.0,websocket
Natasha,en_female_natasha_uranus_bigtts,美式英语,2.0,http
Elaine,en_female_pleasant-female_uranus_bigtts,美式英语,2.0,websocket
Rachel,en_female_rachel_p1_uranus_bigtts,美式英语,2.0,websocket
Ronald,en_male_ronald_uranus_bigtts,美式英语,2.0,websocket
Russell,en_male_russell_uranus_bigtts,美式英语,2.0,websocket
Scarlet,en_female_scarlet_p1_uranus_bigtts,美式英语,2.0,websocket
Sharron,en_female_sharron_uranus_bigtts,美式英语,2.0,websocket
Simba,en_male_simba_p1_uranus_bigtts,美式英语,2.0,websocket
Skye,en_female_skye_uranus_bigtts,美式英语,2.0,websocket
Tom,en_male_tom_hiddleston_p1_uranus_bigtts,美式英语,2.0,websocket
Valentino,en_male_valentino_uranus_bigtts,美式英语,2.0,websocket
Clark,en_male_valentino_corey_uranus_bigtts,美式英语,2.0,http
Megan,en_female_wenrouzhishijieshuonv_uranus_bigtts,美式英语,2.0,websocket
Kayla,en_female_xinwenjieshuonv_uranus_bigtts,美式英语,2.0,websocket
Dylan,en_male_yangguangjieshuonan_uranus_bigtts,美式英语,2.0,websocket
Zendaya,en_female_zendaya_p1_uranus_bigtts,美式英语,2.0,websocket
Gracie,es_female_bv084_uranus_bigtts,西班牙语,2.0,websocket
Dani,es_male_dani_uranus_bigtts,西班牙语,2.0,websocket
Guillem,es_male_guillem_uranus_bigtts,西班牙语,2.0,websocket
Marisol,es_female_ht_mx_f6_uranus_bigtts,西班牙语,2.0,websocket
Simone,fr_female_fr_bv078_uranus_bigtts,法语,2.0,websocket
Camille,fr_female_fr_f47_uranus_bigtts,法语,2.0,websocket
Maurice,fr_male_fr_m29_uranus_bigtts,法语,2.0,websocket
Usseau,fr_male_usseau_uranus_bigtts,法语,2.0,http
Rocco,id_male_bv160_uranus_bigtts,印尼语,2.0,websocket
Jude,id_male_bv160dialogue_uranus_bigtts,印尼语,2.0,websocket
Hugo,id_male_bv160narration_uranus_bigtts,印尼语,2.0,websocket
Clara,id_female_bv161_uranus_bigtts,印尼语,2.0,websocket
Sylvia,id_female_bv161dialogue_uranus_bigtts,印尼语,2.0,websocket
Celeste,id_female_bv161narration_uranus_bigtts,印尼语,2.0,websocket
Crew,id_female_bv164_uranus_bigtts,印尼语,2.0,websocket
Elian,id_male_bv164dialogue_uranus_bigtts,印尼语,2.0,websocket
Ronan,id_male_bv164narration_uranus_bigtts,印尼语,2.0,websocket
Chloe,id_female_f20_uranus_bigtts,印尼语,2.0,websocket
Han,id_male_han_uranus_bigtts,印尼语,2.0,websocket
Kyle,id_male_m08_uranus_bigtts,印尼语,2.0,websocket
Phulia,id_female_phulia_uranus_bigtts,印尼语,2.0,websocket
Bonnie,ja_female_bv024_uranus_bigtts,日语,2.0,websocket
Poppy,ja_female_bv520_uranus_bigtts,日语,2.0,websocket
Aoi,ja_female_bv521_uranus_bigtts,日语,2.0,websocket
Hana,ja_female_bv522_uranus_bigtts,日语,2.0,websocket
Lily,ja_female_bv523_uranus_bigtts,日语,2.0,websocket
Ken,ja_male_bv524_uranus_bigtts,日语,2.0,websocket
Minimi,ja_female_minimi_uranus_bigtts,日语,2.0,http
Shirou,ja_female_shirou_uranus_bigtts,日语,2.0,websocket
Jay,ko_male_bv545_uranus_bigtts,韩语,2.0,websocket
Momo,ko_female_bv546_uranus_bigtts,韩语,2.0,websocket
Minho,ko_male_m03_uranus_bigtts,韩语,2.0,websocket
Shane,ko_male_shane_uranus_bigtts,韩语,2.0,http
Ham,ms_male_ham_uranus_bigtts,马来语,2.0,websocket
Naim,ms_male_naim_uranus_bigtts,马来语,2.0,websocket
Irene,mx_female_bv065_uranus_bigtts,墨西哥西语,2.0,websocket
Diego,mx_male_bv165dialogue_uranus_bigtts,墨西哥西语,2.0,websocket
Marcos,mx_male_bv165narrator_uranus_bigtts,墨西哥西语,2.0,websocket
Lucy,mx_female_bv166dialogue_uranus_bigtts,墨西哥西语,2.0,websocket
Rosa,mx_female_bv166emotion_uranus_bigtts,墨西哥西语,2.0,websocket
Freya,mx_female_bv166narrator_uranus_bigtts,墨西哥西语,2.0,websocket
Felipe,mx_male_felipe_uranus_bigtts,墨西哥西语,2.0,http
Derek,mx_male_ht_mx_m012_uranus_bigtts,墨西哥西语,2.0,websocket
Leslie,mx_female_leslie_uranus_bigtts,墨西哥西语,2.0,websocket
Marcelo,mx_male_marcelo_uranus_bigtts,墨西哥西语,2.0,websocket
Sam,pt_male_bv172_uranus_bigtts,巴西葡萄牙语,2.0,websocket
Walter,pt_male_bv172dialogue_uranus_bigtts,巴西葡萄牙语,2.0,websocket
Vincent,pt_male_bv172emotion_uranus_bigtts,巴西葡萄牙语,2.0,websocket
Miles,pt_male_bv172narrator_uranus_bigtts,巴西葡萄牙语,2.0,websocket
Diana,pt_female_bv173_uranus_bigtts,巴西葡萄牙语,2.0,websocket
Elena,pt_female_bv173dialogue_uranus_bigtts,巴西葡萄牙语,2.0,websocket
Lola,pt_female_bv173emotion_uranus_bigtts,巴西葡萄牙语,2.0,websocket
Emma,pt_female_bv173narrator_uranus_bigtts,巴西葡萄牙语,2.0,websocket
Sofia,pt_female_bv530_uranus_bigtts,巴西葡萄牙语,2.0,websocket
Arthur,pt_male_bv531_uranus_bigtts,巴西葡萄牙语,2.0,websocket
Mari,pt_female_mari_uranus_bigtts,巴西葡萄牙语,2.0,websocket
Toby,pt_male_martins_uranus_bigtts,巴西葡萄牙语,2.0,http
Rael,pt_male_rael_uranus_bigtts,巴西葡萄牙语,2.0,websocket
Amelia,ru_female_af07_uranus_bigtts,俄语,2.0,websocket
Irinae,ru_female_irinae_uranus_bigtts,俄语,2.0,websocket
Pavel,ru_male_pavel_uranus_bigtts,俄语,2.0,websocket
Ksenia,ru_female_sophie_uranus_bigtts,俄语,2.0,websocket
Silas,ru_male_vlad_uranus_bigtts,俄语,2.0,websocket
Valeria,th_female_bv568_angry_uranus_bigtts,泰语,2.0,websocket
Iris,th_female_bv568_fear_uranus_bigtts,泰语,2.0,websocket
Zara,th_female_bv568_happy_uranus_bigtts,泰语,2.0,websocket
Valentina,th_female_bv568_hate_uranus_bigtts,泰语,2.0,websocket
Mildred,th_female_bv568_neutral_uranus_bigtts,泰语,2.0,websocket
Lydia,th_female_bv568_sad_uranus_bigtts,泰语,2.0,websocket
Phoebe,th_female_bv568_suprise_uranus_bigtts,泰语,2.0,websocket
Annika,tl_female_annika_uranus_bigtts,菲律宾语,2.0,websocket
Ed,tl_male_ed_uranus_bigtts,菲律宾语,2.0,websocket
Hervie,tl_female_hervie_uranus_bigtts,菲律宾语,2.0,websocket
Hong,vi_female_hong_uranus_bigtts,越南语,2.0,websocket
Ling,vi_female_ling_uranus_bigtts,越南语,2.0,websocket
Linh,vi_female_linh_uranus_bigtts,越南语,2.0,websocket
Partner,vi_female_partner_uranus_bigtts,越南语,2.0,websocket
Ruan,vi_female_ruan_uranus_bigtts,越南语,2.0,websocket
Wu,vi_female_wu_uranus_bigtts,越南语,2.0,websocket
Wumg,vi_male_wumg_uranus_bigtts,越南语,2.0,websocket
Enzo,it_male_enzo_uranus_bigtts,意大利语,2.0,http
冷酷哥哥（多情感）,zh_male_lengkugege_emo_v2_mars_bigtts,中文,1.0,http
甜心小美（多情感）,zh_female_tianxinxiaomei_emo_v2_mars_bigtts,中文,1.0,http
广州德哥（多情感）,zh_male_guangzhoudege_emo_mars_bigtts,中文,1.0,http
京腔侃爷（多情感）,zh_male_jingqiangkanye_emo_mars_bigtts,中文,1.0,http
邻居阿姨（多情感）,zh_female_linjuayi_emo_v2_mars_bigtts,中文,1.0,http
优柔公子（多情感）,zh_male_yourougongzi_emo_v2_mars_bigtts,中文,1.0,http
儒雅男友（多情感）,zh_male_ruyayichen_emo_v2_mars_bigtts,中文,1.0,http
俊朗男友（多情感）,zh_male_junlangnanyou_emo_v2_mars_bigtts,中文,1.0,http
北京小爷（多情感）,zh_male_beijingxiaoye_emo_v2_mars_bigtts,中文,1.0,http
柔美女友（多情感）,zh_female_roumeinvyou_emo_v2_mars_bigtts,中文,1.0,http
阳光青年（多情感）,zh_male_yangguangqingnian_emo_v2_mars_bigtts,中文,1.0,http
魅力女友（多情感）,zh_female_meilinvyou_emo_v2_mars_bigtts,中文,1.0,http
爽快思思（多情感）,zh_female_shuangkuaisisi_emo_v2_mars_bigtts,"中文,英式英语",1.0,http
深夜播客（多情感）,zh_male_shenyeboke_emo_v2_mars_bigtts,中文,1.0,http
Candice,en_female_candice_emo_v2_mars_bigtts,美式英语,1.0,http
Tina老师,zh_female_yingyujiaoyu_mars_bigtts,"中文,英式英语",1.0,http
亲切女声,zh_female_qinqienvsheng_moon_bigtts,中文,1.0,http
阳光阿辰,zh_male_qingyiyuxuan_mars_bigtts,中文,1.0,http
快乐小东 / Daniel,zh_male_xudong_conversation_wvae_bigtts,中文 / 美式英语,1.0,http
开朗学长,en_male_jason_conversation_wvae_bigtts,中文,1.0,http
甜美桃子,zh_female_tianmeitaozi_mars_bigtts,中文,1.0,http
清新女声,zh_female_qingxinnvsheng_mars_bigtts,中文,1.0,http
知性女声,zh_female_zhixingnvsheng_mars_bigtts,中文,1.0,http
清爽男大,zh_male_qingshuangnanda_mars_bigtts,中文,1.0,http
邻家女孩,zh_female_linjianvhai_moon_bigtts,中文,1.0,http
渊博小叔,zh_male_yuanboxiaoshu_moon_bigtts,中文,1.0,http
阳光青年,zh_male_yangguangqingnian_moon_bigtts,中文,1.0,http
甜美小源,zh_female_tianmeixiaoyuan_moon_bigtts,中文,1.0,http
清澈梓梓,zh_female_qingchezizi_moon_bigtts,中文,1.0,http
解说小明,zh_male_jieshuoxiaoming_moon_bigtts,中文,1.0,http
开朗姐姐,zh_female_kailangjiejie_moon_bigtts,中文,1.0,http
邻家男孩,zh_male_linjiananhai_moon_bigtts,中文,1.0,http
甜美悦悦,zh_female_tianmeiyueyue_moon_bigtts,中文,1.0,http
心灵鸡汤,zh_female_xinlingjitang_moon_bigtts,中文,1.0,http
温柔小哥,zh_male_wenrouxiaoge_mars_bigtts,中文,1.0,http
灿灿/Shiny,zh_female_cancan_mars_bigtts,"中文,美式英语",1.0,http
爽快思思/Skye,zh_female_shuangkuaisisi_moon_bigtts,"中文,美式英语",1.0,http
温暖阿虎/Alvin,zh_male_wennuanahu_moon_bigtts,"中文,美式英语",1.0,http
少年梓辛/Brayan,zh_male_shaonianzixin_moon_bigtts,"中文,美式英语",1.0,http
粤语小溏,zh_female_yueyunv_mars_bigtts,中文,1.0,http
豫州子轩,zh_male_yuzhouzixuan_moon_bigtts,中文-河南口音,1.0,http
呆萌川妹,zh_female_daimengchuanmei_moon_bigtts,中文-四川口音,1.0,http
广西远舟,zh_male_guangxiyuanzhou_moon_bigtts,中文-广西口音,1.0,http
双节棍小哥,zh_male_zhoujielun_emo_v2_mars_bigtts,中文-台湾口音,1.0,http
湾湾小何,zh_female_wanwanxiaohe_moon_bigtts,中文-台湾口音,1.0,http
湾区大叔,zh_female_wanqudashu_moon_bigtts,中文-广东口音,1.0,http
广州德哥,zh_male_guozhoudege_moon_bigtts,中文-广东口音,1.0,http
浩宇小哥,zh_male_haoyuxiaoge_moon_bigtts,中文-青岛口音,1.0,http
北京小爷,zh_male_beijingxiaoye_moon_bigtts,中文-北京口音,1.0,http
京腔侃爷/Harmony,zh_male_jingqiangkanye_moon_bigtts,"中文-北京口音,美式英语",1.0,http
妹坨洁儿,zh_female_meituojieer_moon_bigtts,中文-长沙口音,1.0,http
奶气萌娃,zh_male_naiqimengwa_mars_bigtts,中文,1.0,http
婆婆,zh_female_popo_mars_bigtts,中文,1.0,http
高冷御姐,zh_female_gaolengyujie_moon_bigtts,中文,1.0,http
傲娇霸总,zh_male_aojiaobazong_moon_bigtts,中文,1.0,http
魅力女友,zh_female_meilinvyou_moon_bigtts,中文,1.0,http
深夜播客,zh_male_shenyeboke_moon_bigtts,中文,1.0,http
柔美女友,zh_female_sajiaonvyou_moon_bigtts,中文,1.0,http
撒娇学妹,zh_female_yuanqinvyou_moon_bigtts,中文,1.0,http
东方浩然,zh_male_dongfanghaoran_moon_bigtts,中文,1.0,http
Lucas / 悠悠君子,zh_male_M100_conversation_wvae_bigtts,美式英语 / 中文,1.0,http
Adam,en_male_adam_mars_bigtts,美式英语,1.0,http
Amanda,en_female_amanda_mars_bigtts,美式英语,1.0,http
Jackson,en_male_jackson_mars_bigtts,美式英语,1.0,http
Smith,en_male_smith_mars_bigtts,英式英语,1.0,http
Anna,en_female_anna_mars_bigtts,英式英语,1.0,http
Sarah,en_female_sarah_mars_bigtts,澳洲英语,1.0,http
Dryw,en_male_dryw_mars_bigtts,澳洲英语,1.0,http
Diana / つき（月）,multi_female_maomao_conversation_wvae_bigtts,西语 / 日语,1.0,http
Lucía,multi_male_M100_conversation_wvae_bigtts,西语,1.0,http
Sofía / さとみ（智美）,multi_female_sophie_conversation_wvae_bigtts,西语 / 日语,1.0,http
Daníel / まさお（正男）,multi_male_xudong_conversation_wvae_bigtts,西语 / 日语,1.0,http
ひかる（光）,multi_zh_male_youyoujunzi_moon_bigtts,日语,1.0,http
あけみ（朱美）,multi_female_gaolengyujie_moon_bigtts,日语,1.0,http
かずね（和音）/JavierorÁlvaro,multi_male_jingqiangkanye_moon_bigtts,"日语,西语",1.0,http
はるこ（晴子）/Esmeralda,multi_female_shuangkuaisisi_moon_bigtts,"日语,西语",1.0,http
ひろし（広志）/Roberto,multi_male_wanqudashu_moon_bigtts,"日语,西语",1.0,http
文静毛毛,zh_female_maomao_conversation_wvae_bigtts,中文,1.0,http
温柔小雅,zh_female_wenrouxiaoya_moon_bigtts,中文,1.0,http
天才童声,zh_male_tiancaitongsheng_mars_bigtts,中文,1.0,http
猴哥,zh_male_sunwukong_mars_bigtts,中文,1.0,http
熊二,zh_male_xionger_mars_bigtts,中文,1.0,http
佩奇猪,zh_female_peiqi_mars_bigtts,中文,1.0,http
武则天,zh_female_wuzetian_mars_bigtts,中文,1.0,http
顾姐,zh_female_gujie_mars_bigtts,中文,1.0,http
樱桃丸子,zh_female_yingtaowanzi_mars_bigtts,中文,1.0,http
广告解说,zh_male_chunhui_mars_bigtts,中文,1.0,http
少儿故事,zh_female_shaoergushi_mars_bigtts,中文,1.0,http
四郎,zh_male_silang_mars_bigtts,中文,1.0,http
俏皮女声,zh_female_qiaopinvsheng_mars_bigtts,中文,1.0,http
懒音绵宝,zh_male_lanxiaoyang_mars_bigtts,中文,1.0,http
亮嗓萌仔,zh_male_dongmanhaimian_mars_bigtts,中文,1.0,http
鸡汤妹妹/Hope,zh_female_jitangmeimei_mars_bigtts,"中文,美式英语",1.0,http
贴心女声/Candy,zh_female_tiexinnvsheng_mars_bigtts,"中文,美式英语",1.0,http
萌丫头/Cutey,zh_female_mengyatou_mars_bigtts,"中文,美式英语",1.0,http
悬疑解说,zh_male_changtianyi_mars_bigtts,中文,1.0,http
儒雅青年,zh_male_ruyaqingnian_mars_bigtts,中文,1.0,http
霸气青叔,zh_male_baqiqingshu_mars_bigtts,中文,1.0,http
擎苍,zh_male_qingcang_mars_bigtts,中文,1.0,http
活力小哥,zh_male_yangguangqingnian_mars_bigtts,中文,1.0,http
古风少御,zh_female_gufengshaoyu_mars_bigtts,中文,1.0,http
温柔淑女,zh_female_wenroushunv_mars_bigtts,中文,1.0,http
反卷青年,zh_male_fanjuanqingnian_mars_bigtts,中文,1.0,http
